source,data,target,stato,codice_regione,denominazione_provincia,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,,,,,,,,,,,,,,,,,,,,,,
,21/09/2020,1 wk ahead cum death,US,8,Limestone County,39.550051,-105.782067,30541,30541,1736,0,5701,,2985398,0,,,3007422,,,,342438,342438,0,0,28073,,,,320414,,,0,3327836,0,320265,,,,,0,3327836,0
,21/09/2020,1 wk ahead cum death,US,38,Limestone County,50.729553,-90.6859,,,71,0,,12,57275,655,,,,,4,,3968,3950,82,0,6,18,,,,2398,,0,61243,737,202,41,,,61225,736,61200,735
,21/09/2020,1 wk ahead cum death,US,40,Limestone County,51.729553,-89.6859,1025,1025,81,13,,19,295153,0,,,,,13,,14350,14156,88,0,,,,,14097,11150,482982,3681,482982,3681,,,,,308090,0,,0
,21/09/2020,1 wk ahead cum death,US,47,Limestone County,52.729553,-88.6859,,,534,0,,134,738352,3645,,60834,,,49,,104190,104190,1179,0,,,3695,5615,,84671,,0,842542,4824,,,64568,68339,844194,4846,,0
,21/09/2020,1 wk ahead cum death,US,55,Limestone County,53.729553,-87.6859,2277,2277,187,46,509,54,309309,1697,,,,,,,54663,48524,873,0,,,,,,26549,,0,357833,2451,,,,,357833,2451,471700,3991
,21/09/2020,1 wk ahead cum death,US,22,Limestone County,31.244823,-92.145024,,,2338,0,,502,6594888,62449,,,,,194,,358804,355217,4342,0,,,,,,,,0,6953692,66791,,,,,,0,6950105,66791
,21/09/2020,1 wk ahead cum death,US,32,Limestone County,54.729553,-86.6859,15163,15163,1484,180,2976,412,1428713,7027,,,,,141,,152396,,1732,0,,,,,148743,110746,,0,2574800,23394,,,,,1581109,8759,2574800,23394
,21/09/2020,1 wk ahead cum death,US,1,Limestone County,32.318231,-86.902298,3506,3506,329,85,975,1,531053,5627,,,,299,45,,74456,,1488,0,,,,,,2485,,0,605509,7115,,,,,605509,7115,,0
,21/09/2020,1 wk ahead cum death,US,49,Limestone County,55.729553,-85.6859,6721,6721,794,56,1651,203,1637642,6858,,,,,,,90996,77233,1452,0,,,,,,17534,,0,1714875,7978,81800,40741,,,,0,1714875,7978
,21/09/2020,1 wk ahead cum death,US,54,Limestone County,56.729553,-84.6859,,,608,0,,,2450272,13584,,,,,68,,181132,177399,1363,0,,,,,,165282,,0,2631404,14947,,,,,2627671,14302,,0
,21/09/2020,1 wk ahead cum death,US,25,Limestone County,57.729553,-83.6859,13056,13056,519,35,,91,2419306,12076,,,,,36,,146166,142941,702,0,,,,,186257,118892,,0,5366394,60353,,,124834,168123,2562247,12722,5366394,60353
,21/09/2020,1 wk ahead cum death,US,27,Limestone County,58.729553,-82.6859,16549,16549,463,33,,131,1694771,6610,,131954,,,,,137236,137236,492,0,,,13261,,165228,7960,,0,3138875,17076,,,145215,,1832007,7102,3138875,17076
,21/09/2020,1 wk ahead cum death,US,13,Limestone County,32.157435,-82.907123,470,470,7,1,,0,554783,6678,10036,,553123,,0,,6027,5381,38,0,346,,,,6715,5244,,0,560810,6716,10394,,,,,0,560164,6718
,21/09/2020,1 wk ahead cum death,US,56,Limestone County,59.729553,-81.6859,,,1050,0,,267,4252959,33162,,,4252959,,112,,167872,150989,1878,0,,,,,205705,109539,,0,4420831,35040,316762,,,,,0,4458664,35177
,21/09/2020,1 wk ahead cum death,US,19,Limestone County,41.878003,-93.097702,9147,9147,588,105,2473,160,1581923,7189,,,,,,,126591,126262,1060,0,,,,,,113158,2539376,16377,2539376,16377,,21144,,,1708185,8236,,0
,21/09/2020,1 wk ahead cum death,US,11,Limestone County,38.905985,-77.033418,,,1415,0,,450,1247005,12006,79737,71709,2137998,,,,160869,160869,1244,0,5027,5307,3618,,184494,,,0,2326868,30194,84961,26609,69077,14660,1407874,14774,2326868,30194
,21/09/2020,1 wk ahead cum death,US,46,Limestone County,60.729553,-80.6859,4,4,,0,,,15723,0,,,,,,,88,88,0,0,,,,,,29,,0,15811,0,,,,,15811,0,22212,0
,21/09/2020,1 wk ahead cum death,US,50,coffee county,61.729553,-79.6859,6380,6380,711,0,,151,729544,0,,,,,73,,112123,99919,801,0,95,,,,,97675,,0,841667,801,41053,72982,,,,0,827497,0
,21/09/2020,1 wk ahead cum death,US,28,Henry County,62.729553,-78.6859,1068,1068,345,13,,,423282,2354,,,,,,,24712,24712,619,0,,,,,,15085,,0,447994,2973,,,,,,0,447994,2973
,21/09/2020,1 wk ahead cum death,US,48,Limestone County,63.729553,-77.6859,,,1219,0,,337,3441451,18408,,,,,,,250592,241792,1842,0,,,,,,218541,,0,3692043,20250,,17543,,,,0,3683243,19903
,21/09/2020,1 wk ahead cum death,US,18,Shelby county,40.551217,-85.602364,1324,1324,219,23,281,33,241431,525,9962,,,,,,34165,34165,499,0,590,,,,,27769,752495,6131,752495,6131,10552,,,,275596,1024,782486,6447
,21/09/2020,1 wk ahead cum death,US,20,coffee county,39.011902,-98.484246,2706,2706,380,26,,,490513,2661,,,,,,,59409,59409,592,0,,,,,,39687,,0,549922,3253,,,,,550239,3253,822904,12406
,21/09/2020,1 wk ahead cum death,US,37,Henry County,64.729553,-76.6859,763,763,14,0,246,,308375,2112,,,,,,,9917,9917,89,0,,,,,,8650,,0,552925,9363,32680,,31852,,318292,2201,552925,9363
,21/09/2020,1 wk ahead cum death,US,26,Limestone County,65.729553,-75.6859,24441,24441,844,79,,175,4040900,27793,,,,,63,,223223,223223,1030,0,,,,,,36110,,0,4264123,28823,,,,,,0,4264123,28823
,21/09/2020,1 wk ahead cum death,US,4,Shelby county,34.048928,-111.093731,4030,4030,205,53,,,1032585,8619,,,,,,,37896,37896,594,0,,,,,,20165,,0,1070481,9213,,,,,,0,1070481,9213
,21/09/2020,1 wk ahead cum death,US,53,coffee county,66.729553,-74.6859,,,535,0,,147,677549,2736,,,,,47,,92064,92064,565,0,,,,,,2329,1165414,9385,769613,3301,,,,,769613,3301,1154583,0
,21/09/2020,1 wk ahead cum death,US,17,Henry County,40.633125,-89.398528,89995,89995,950,0,,201,12708998,122763,,,,,103,,488506,488506,2026,0,,,,,,78645,13197504,124789,13197504,124789,,,,,,0,,0
,21/09/2020,1 wk ahead cum death,US,42,Limestone County,67.729553,-73.6859,17523,17523,1252,135,3632,345,3823508,29733,,,,,164,,188005,177098,2366,0,,,,,,153769,,0,4011513,32099,,,,,,0,4000606,31972
,21/09/2020,1 wk ahead cum death,US,45,Shelby county,68.729553,-72.6859,8077,8077,870,113,,317,1367370,9908,,,1367370,,,5271,110855,110855,1307,0,4635,,,,122518,94979,,0,1478225,11215,85717,,,,,0,1491841,11078
,21/09/2020,1 wk ahead cum death,US,31,coffee county,69.729553,-71.6859,2989,2989,183,25,,57,759492,4311,,,759492,,21,,40443,38406,307,0,,,,,,5870,,0,799935,4618,,,,,797898,4599,,0
,21/09/2020,1 wk ahead cum death,US,33,Henry County,70.729553,-70.6859,,,966,0,,,2167536,11897,,,,,104,,186297,178648,1425,0,,,,,,147174,,0,2353833,13322,,,,,2346184,13136,3673703,27447
,21/09/2020,1 wk ahead cum death,US,6,Limestone County,36.778261,-119.417932,,,378,0,,62,305972,0,,,303412,,45,,58830,29717,187,0,29113,,,,7002,26018,,0,364802,187,,,,,,0,310546,0
,21/09/2020,1 wk ahead cum death,US,30,Shelby county,71.729553,-69.6859,3091,3091,130,19,,14,375557,3151,,,959236,,6,,29123,29123,474,0,,,,,39324,2580,998560,13240,998560,13240,,,,,404680,3625,,0
,21/09/2020,1 wk ahead cum death,US,34,coffee county,72.729553,-68.6859,10062,10062,743,34,,197,1467192,12763,69038,,1418122,,98,,166357,159433,864,0,8225,14381,,,208503,84052,,0,1633549,13627,77263,87938,,,,0,1626625,13449
,21/09/2020,1 wk ahead cum death,US,35,Henry County,73.729553,-67.6859,2239,2239,332,46,,,201206,937,,,,,,,35044,34031,587,0,,,,,,26023,,0,236250,1524,,,,,236250,1524,380661,4666
,21/09/2020,1 wk ahead cum death,US,21,Limestone County,37.839333,-84.270018,9734,9734,1424,53,,388,3180394,17227,,,3133279,,167,,235861,223867,2292,0,,11167,,,270982,210243,,0,3416255,19519,,78781,,,,0,3404261,19210
,21/09/2020,1 wk ahead cum death,US,23,Shelby county,45.253783,-69.445469,,,4782,0,,1424,6636065,25296,,,,,,,838809,838809,5252,0,43253,21607,,,,739140,,0,7474874,30548,457228,247975,,,,0,7474874,30548
,21/09/2020,1 wk ahead cum death,US,44,coffee county,74.729553,-66.6859,4807,4807,338,54,1040,111,895989,6208,,,,406,,,98006,98006,1363,0,,3890,,3718,,72606,,0,993995,7571,,65372,,30987,993995,7571,1333718,13758
,21/09/2020,1 wk ahead cum death,US,US,Henry County,,,20236,20236,1010,129,,202,2273738,19011,,,,,97,315,168772,157998,1018,0,,,,,188401,19226,2431736,19796,2431736,19796,,,,,,0,,0
,21/09/2020,1 wk ahead cum death,US,2,Limestone County,63.588753,-154.493062,,,,0,,,21768,251,,,,,,68,1337,,2,0,,,,,,1303,,0,23105,253,,,,,,0,23173,294
,21/09/2020,1 wk ahead cum death,US,36,Shelby county,75.729553,-65.6859,,,4,0,,,178723,966,,,,,,,1971,1971,15,0,,,,,,1708,,0,180694,981,,,,,180694,981,,0
COVIDhub-ensembl,21/09/2020,1 wk ahead cum death,US,60,coffee county,76.729553,-64.6859,8124,8124,301,47,,,2153638,7963,,,,,43,,99150,99150,489,0,,,,,,,2252788,8452,2252788,8452,,,,,,0,,0
,21/09/2020,1 wk ahead cum death,US,69,Henry County,77.729553,-63.6859,9704,9704,1190,167,1371,299,1718564,5681,,,,,,209,192191,182687,4363,0,,,,,,142485,2924206,13633,1910755,10044,,,,,1901251,9886,,0
,21/09/2020,1 wk ahead cum death,US,66,Limestone County,78.729553,-62.6859,,,188,0,,65,675863,4573,,,,,25,,20734,19664,215,0,,,,,,15215,,0,696597,4788,18791,,,,,0,695527,4724
,21/09/2020,1 wk ahead cum death,US,78,Shelby county,79.729553,-61.6859,373,373,66,2,,,111822,3068,,,211461,,,,9848,8305,322,0,,,,,7896,7070,,0,121670,3390,,,,,120127,4036,219358,10368
,21/09/2020,1 wk ahead cum death,US,72,coffee county,80.729553,-60.6859,,,38,0,,,534093,10090,,,535040,,10,,12432,12432,212,0,,,,,11169,6681,,0,546525,10302,,,,,,0,546525,10302
,21/09/2020,1 wk ahead cum death,US,50,Henry County,81.729553,-59.6859,19081,19081,846,0,1954,,1112559,4731,,,,1114,,,174528,153016,1043,0,,,,,,74238,,0,1265575,5475,,,61855,,,0,1265575,5475
,21/09/2020,1 wk ahead cum death,US,36,Limestone County,82.729553,-58.6859,6428,6428,627,67,,257,1137234,7110,,,1137234,782,96,,100441,94418,844,0,,3300,,6672,,90283,,0,1231652,7738,,21856,,37538,,0,1231652,7738
,21/09/2020,1 wk ahead cum death,US,9,Shelby county,41.603221,-73.087749,,,,0,,,1616,0,,,,,,,0,0,0,0,,,,,,,,0,1616,0,,,,,,0,1616,0
,21/09/2020,1 wk ahead cum death,US,10,coffee county,38.910832,-75.52767,20719,20719,777,71,,170,1419675,6571,,,,,91,,232937,227670,1040,0,,,,,,38705,,0,1647345,7560,309446,,,,1647345,7560,,0
,21/09/2020,1 wk ahead cum death,US,23,Henry County,45.253783,-69.445469,,,3104,0,,781,16314993,143376,,,,,,,874077,874077,3286,0,,,,,,,,0,17189070,146662,,,,,,0,17189070,146662
,21/09/2020,1 wk ahead cum death,US,56,Limestone County,83.729553,-57.6859,8248,8248,465,21,,,1008906,8240,164811,,,,,,86374,80536,1072,0,12564,,,,,7225,1708450,19137,1708450,19137,177375,,,,1089442,9284,,0
,21/09/2020,1 wk ahead cum death,US,51,Shelby county,84.729553,-56.6859,12043,12043,217,0,,,1989807,14231,,,,,,,64455,61863,434,0,,,,,,9651,,0,2054262,14665,,,,,,0,2051670,14653
,21/09/2020,1 wk ahead cum death,US,15,coffee county,19.898682,-155.665857,,,85,0,,20,457362,4717,,,,,9,,16445,,50,0,,,,,,12884,473807,4767,473807,4767,,,,,243299,1678,,0
,21/09/2020,1 wk ahead cum death,US,47,Henry County,85.729553,-55.6859,,,107,0,,25,307401,1579,,,,,,,23325,22220,129,0,,,,,,12245,,0,330726,1708,,,,,330726,1708,515223,2816
,21/09/2020,1 wk ahead cum death,US,31,Limestone County,86.729553,-54.6859,47895,47895,2094,231,,,5007558,25002,487730,475588,7334681,,,4378,760389,734469,3662,0,51923,,50676,,978150,,,0,5767947,28664,539844,,526404,,5775214,28685,8357405,48510
,21/09/2020,1 wk ahead cum death,US,46,Shelby county,87.729553,-53.6859,30541,30541,1713,153,5701,,2985398,12429,,,3007422,,,,342438,342438,1128,0,28073,,,,320414,,,0,3327836,13557,320265,,,,,0,3327836,13557
,21/09/2020,1 wk ahead cum death,US,28,coffee county,88.729553,-52.6859,,,70,0,,17,56620,827,,,,,6,,3886,3869,130,0,6,17,,,,2354,,0,60506,957,202,39,,,60489,940,60465,954
,21/09/2020,1 wk ahead cum death,US,5,Henry County,35.20105,-91.831833,1012,1012,96,7,,22,295153,0,,,,,15,,14262,14068,37,0,,,,,14014,11078,479301,1985,479301,1985,,,,,308090,0,,0
,21/09/2020,1 wk ahead cum death,US,11,Limestone County,38.905985,-77.033418,,,501,0,,122,734707,1651,,60605,,,45,,103011,103011,494,0,,,3685,5433,,83518,,0,837718,2145,,,64329,67096,839348,2147,,0
,21/09/2020,1 wk ahead cum death,US,4,Shelby county,34.048928,-111.093731,2231,2231,187,25,506,54,307612,1597,,,,,,,53790,47770,698,0,,,,,,26238,,0,355382,2192,,,,,355382,2192,467709,4161
,21/09/2020,1 wk ahead cum death,US,55,coffee county,89.729553,-51.6859,,,2261,0,,489,6532439,55363,,,,,195,,354462,350875,3714,0,,,,,,,,0,6886901,59077,,,,,,0,6883314,59077
,21/09/2020,1 wk ahead cum death,US,44,Henry County,90.729553,-50.6859,14983,14983,1425,157,2954,412,1421686,6130,,,,,141,,150664,,1498,0,,,,,147110,109675,,0,2551406,17543,,,,,1572350,7628,2551406,17543
,21/09/2020,1 wk ahead cum death,US,17,Limestone County,40.633125,-89.398528,3421,3421,285,0,952,81,525426,0,,,,294,39,,72968,,0,0,,,,,,2415,,0,598394,0,,,,,598394,0,,0
,21/09/2020,1 wk ahead cum death,US,27,Shelby county,91.729553,-49.6859,6665,6665,776,49,1638,202,1630784,7112,,,,,,,89544,76113,1297,0,,,,,,17402,,0,1706897,8082,81597,39937,,,,0,1706897,8082
,21/09/2020,1 wk ahead cum death,US,32,coffee county,92.729553,-48.6859,,,586,0,,,2436688,18294,,,,,62,,179769,176681,699,0,,,,,,161792,,0,2616457,18993,,,,,2613369,18993,,0
,21/09/2020,1 wk ahead cum death,US,33,Henry County,93.729553,-47.6859,13021,13021,517,12,,94,2407230,16417,,,,,35,,145464,142295,976,0,,,,,185451,118892,,0,5306041,66390,,,124711,166394,2549525,17238,5306041,66390
,21/09/2020,1 wk ahead cum death,US,20,Limestone County,39.011902,-98.484246,16516,16516,464,41,,123,1688161,7593,,129260,,,,,136744,136744,590,0,,,12794,,164580,7926,,0,3121799,17966,,,142054,,1824905,8183,3121799,17966
,21/09/2020,1 wk ahead cum death,US,29,Shelby county,94.729553,-46.6859,469,469,9,0,,1,548105,4590,10025,,546444,,0,,5989,5341,27,0,345,,,,6676,5206,,0,554094,4617,10382,,,,,0,553446,4608
,21/09/2020,1 wk ahead cum death,US,38,coffee county,95.729553,-45.6859,,,1050,0,,267,4219797,48296,,,4219797,,106,,165994,149392,1871,0,,,,,203690,109539,,0,4385791,50167,316115,,,,,0,4423487,50752
,21/09/2020,1 wk ahead cum death,US,40,Henry County,96.729553,-44.6859,9042,9042,567,126,2451,155,1574734,4604,,,,,,,125531,125215,1092,0,,,,,,111634,2522999,11604,2522999,11604,,20649,,,1699949,5684,,0
,21/09/2020,1 wk ahead cum death,US,54,Limestone County,97.729553,-43.6859,,,1439,0,,476,1234999,0,79502,71709,2110912,,,,159625,159625,1524,0,4953,5104,3618,,181463,,,0,2296674,0,84652,25263,68919,14224,1393100,0,2296674,0
,21/09/2020,1 wk ahead cum death,US,1,Shelby county,32.318231,-86.902298,4,4,,0,,,15723,267,,,,,,,88,88,2,0,,,,,,29,,0,15811,269,,,,,15811,278,22212,2377
,21/09/2020,1 wk ahead cum death,US,48,coffee county,98.729553,-42.6859,6380,6380,664,0,,161,729544,0,,,,,73,,111322,99451,730,0,95,,,,,97675,,0,840866,730,41053,72982,,,,0,827497,0
,21/09/2020,1 wk ahead cum death,US,26,Henry County,99.729553,-41.6859,1055,1055,360,35,,,420928,1952,,,,,,,24093,24093,703,0,,,,,,14842,,0,445021,2655,,,,,,0,445021,2655
,21/09/2020,1 wk ahead cum death,US,US,Limestone County,,,,,1203,0,,326,3423043,21851,,,,,,,248750,240297,1578,0,,,,,,218541,,0,3671793,23429,,16457,,,,0,3663340,23254
,21/09/2020,1 wk ahead cum death,US,22,Shelby county,31.244823,-92.145024,1301,1301,209,34,279,39,240906,806,9943,,,,,,33666,33666,1029,0,584,,,,,27222,746364,5204,746364,5204,10527,,,,274572,1835,776039,5529
,21/09/2020,1 wk ahead cum death,US,24,coffee county,39.045755,-76.641271,2680,2680,380,22,,,487852,2707,,,,,,,58817,58817,749,0,,,,,,39313,,0,546669,3456,,,,,546986,3456,810498,10919
,21/09/2020,1 wk ahead cum death,US,18,Henry County,40.551217,-85.602364,763,763,16,2,246,,306263,1203,,,,,,,9828,9828,82,0,,,,,,8536,,0,543562,0,32594,,31802,,316091,1285,543562,0
,21/09/2020,1 wk ahead cum death,US,49,Limestone County,100.729553,-40.6859,24362,24362,781,89,,169,4013107,16607,,,,,69,,222193,222193,988,0,,,,,,36005,,0,4235300,17595,,,,,,0,4235300,17595
,21/09/2020,1 wk ahead cum death,US,19,Shelby county,41.878003,-93.097702,3977,3977,183,37,,,1023966,5863,,,,,,,37302,37302,514,0,,,,,,20001,,0,1061268,6377,,,,,,0,1061268,6377
,21/09/2020,1 wk ahead cum death,US,41,coffee county,101.729553,-39.6859,,,506,0,,141,674813,2454,,,,,57,,91499,91499,656,0,,,,,,2336,1156029,6769,766312,3110,,,,,766312,3110,1154583,0
,21/09/2020,1 wk ahead cum death,US,53,Henry County,102.729553,-38.6859,89995,89995,942,0,,194,12586235,89339,,,,,99,,486480,486480,1201,0,,,,,,78530,13072715,90540,13072715,90540,,,,,,0,,0
,21/09/2020,1 wk ahead cum death,US,35,Limestone County,103.729553,-37.6859,17388,17388,1221,216,3597,322,3793775,35832,,,,,161,,185639,174859,2015,0,,,,,,152460,,0,3979414,37847,,,,,,0,3968634,37694
,21/09/2020,1 wk ahead cum death,US,13,Shelby county,32.157435,-82.907123,7964,7964,821,149,,319,1357462,29930,,,1357462,,,3137,109548,109548,1475,0,4635,,,,121425,93698,,0,1467010,31405,85717,,,,,0,1480763,32604
,21/09/2020,1 wk ahead cum death,US,25,coffee county,104.729553,-36.6859,2964,2964,183,17,,57,755181,6466,,,755181,,14,,40136,38118,342,0,,,,,,5870,,0,795317,6808,,,,,793299,6803,,0
,21/09/2020,1 wk ahead cum death,US,37,Henry County,105.729553,-35.6859,,,918,0,,,2155639,11673,,,,,94,,184872,177409,1557,0,,,,,,146048,,0,2340511,13230,,,,,2333048,13028,3646256,30064
,21/09/2020,1 wk ahead cum death,US,42,Limestone County,106.729553,-34.6859,,,378,0,,61,305972,0,,,303412,,38,,58643,29585,693,0,29058,,,,7002,25947,,0,364615,693,,,,,,0,310546,0
,21/09/2020,1 wk ahead cum death,US,12,Shelby county,27.664827,-81.515754,3072,3072,135,22,,16,372406,1427,,,946494,,6,,28649,28649,302,0,,,,,38826,2558,985320,7409,985320,7409,,,,,401055,1729,,0
,21/09/2020,1 wk ahead cum death,US,45,coffee county,107.729553,-33.6859,10028,10028,697,69,,182,1454429,8838,68860,,1405705,,92,,165493,158747,884,0,8177,14103,,,207471,83361,,0,1619922,9722,77037,85898,,,,0,1613176,9615
,21/09/2020,1 wk ahead cum death,US,6,Henry County,36.778261,-119.417932,2193,2193,329,47,,,200269,1655,,,,,,,34457,33466,621,0,,,,,,25686,,0,234726,2276,,,,,234726,2276,375995,8455
,21/09/2020,1 wk ahead cum death,US,21,Limestone County,37.839333,-84.270018,9681,9681,1424,63,,399,3163167,11836,,,3116332,,179,,233569,221884,1508,0,,,,,268719,208182,,0,3396736,13344,,,,,,0,3385051,13154
,21/09/2020,1 wk ahead cum death,US,2,Shelby county,63.588753,-154.493062,,,4588,0,,1349,6610769,52399,,,,,,,833557,833557,7884,0,42991,21340,,,,733758,,0,7444326,60283,455327,246556,,,,0,7444326,60283
,21/09/2020,1 wk ahead cum death,US,34,coffee county,108.729553,-32.6859,4753,4753,311,65,1030,104,889781,4684,,,,403,,,96643,96643,1081,0,,3640,,3471,,71693,,0,986424,5765,,62268,,29952,986424,5765,1319960,9356
,21/09/2020,1 wk ahead cum death,US,30,Henry County,109.729553,-31.6859,20107,20107,937,39,,194,2254727,13055,,,,,98,249,167754,157213,926,0,,,,,187280,19170,2411940,13829,2411940,13829,,,,,,0,,0
,21/09/2020,1 wk ahead cum death,US,8,Limestone County,39.550051,-105.782067,,,,0,,,21517,0,,,,,,27,1335,,0,0,,,,,,1296,,0,22852,0,,,,,,0,22879,0
,21/09/2020,1 wk ahead cum death,US,16,Shelby county,44.068202,-114.742041,,,0,0,,,177757,106,,,,,,,1956,1956,10,0,,,,,,1701,,0,179713,116,,,,,179713,116,,0
,21/09/2020,1 wk ahead cum death,US,39,coffee county,110.729553,-30.6859,8077,8077,289,59,,,2145675,13091,,,,,36,,98661,98661,460,0,,,,,,,2244336,13551,2244336,13551,,,,,,0,,0
OliverWyman-Navigator,21/09/2020,1 wk ahead cum death,US,39,Henry County,,,9537,9537,1192,218,1354,315,1712883,9070,,,,,,223,187828,178482,4686,0,,,,,,139455,2910573,2910573,1900711,13756,,,,,1891365,13661,,0
,21/09/2020,1 wk ahead cum death,US,2,Limestone County,63.588753,-154.493062,,,191,0,,62,671290,3593,,,,,23,,20519,19513,226,0,,,,,,14988,,0,691809,3819,18742,,,,,0,690803,3778
,21/09/2020,1 wk ahead cum death,US,1,Shelby county,32.318231,-86.902298,371,371,66,7,,,108754,0,,,201884,,,,9526,8070,215,0,,,,,7105,6944,,0,118280,215,,,,,116091,0,208990,0
,21/09/2020,1 wk ahead cum death,US,5,coffee county,35.20105,-91.831833,,,65,0,,,524003,3308,,,525048,,8,,12220,12220,204,0,,,,,10859,6516,,0,536223,3512,,,,,,0,536223,3512
,21/09/2020,1 wk ahead cum death,US,4,Henry County,34.048928,-111.093731,19081,19081,859,226,1939,,1107828,5459,,,,1106,,,173485,152272,859,0,,,,,,74238,,0,1260100,6204,,,61800,,,0,1260100,6204
,21/09/2020,1 wk ahead cum death,US,6,Limestone County,36.778261,-119.417932,6361,6361,604,46,,248,1130124,7536,,,1130124,776,95,,99597,93790,531,0,,3300,,6413,,89217,,0,1223914,7970,,21856,,36212,,0,1223914,7970
,21/09/2020,1 wk ahead cum death,US,8,Shelby county,39.550051,-105.782067,,,,0,,,1616,0,,,,,,,0,0,0,0,,,,,,,,0,1616,0,,,,,,0,1616,0
,21/09/2020,1 wk ahead cum death,US,9,coffee county,41.603221,-73.087749,20648,20648,721,8,,177,1413104,8043,,,,,94,,231897,226681,748,0,,,,,,38553,,0,1639785,8762,309007,,,,1639785,8762,,0
,21/09/2020,1 wk ahead cum death,US,11,Henry County,38.905985,-77.033418,,,3002,0,,758,16171617,146872,,,,,,,870791,870791,3474,0,,,,,,,,0,17042408,150346,,,,,,0,17042408,150346
,21/09/2020,1 wk ahead cum death,US,10,Limestone County,38.910832,-75.52767,8227,8227,445,10,,,1000666,9258,164456,,,,,,85302,79492,933,0,12531,,,,,7176,1689313,21260,1689313,21260,176987,,,,1080158,10181,,0
,21/09/2020,1 wk ahead cum death,US,12,Shelby county,27.664827,-81.515754,12043,12043,195,0,,,1975576,70773,,,,,,,64021,61441,1191,0,,,,,,9651,,0,2039597,71964,,,,,,0,2037017,71905
,21/09/2020,1 wk ahead cum death,US,13,coffee county,32.157435,-82.907123,,,84,0,,20,452645,2210,,,,,9,,16395,,25,0,,,,,,12824,469040,2235,469040,2235,,,,,241621,662,,0
,21/09/2020,1 wk ahead cum death,US,15,Henry County,19.898682,-155.665857,,,107,0,,19,305822,1619,,,,,,,23196,22098,103,0,,,,,,12113,,0,329018,1722,,,,,329018,1722,512407,6298
,21/09/2020,1 wk ahead cum death,US,19,Limestone County,41.878003,-93.097702,47664,47664,2057,72,,,4982556,15184,487730,475588,7291080,,,4340,756727,731461,1707,0,51923,,50676,,973367,,,0,5739283,16891,539844,,526404,,5746529,16895,8308895,31025
