data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
2020-10-11 14:00:00,,14,Hawaii,30.968599,-100.901813,64676,2490,2424,11,356.2,,,1018,-1,,,230737,5112,
2020-10-11 14:00:00,,14,Hawaii,38.32098,-112.093731,64677,5796,5796,91,361.3,8538,8538,2596,82,,701,374815,11659,
2020-10-11 14:00:00,,14,Hawaii,36.431573,-79.656894,64678,2089,1988,49,366.4,6992,6992,1459,237,,561,156121,3914,
2020-10-11 14:00:00,,14,Hawaii,43.558803,-73.577841,64679,69,69,-1,371.5,215,215,36,1,,15,22091,-1,586
2020-10-11 14:00:00,,15,Idaho,46.751074,-121.740139,64680,5395,5193,38,376.6,,,1113,-1,,487,363547,10391,
2020-10-11 14:00:00,,15,Idaho,42.78444,-89.787868,64681,730,721,21,381.7,2089,2089,486,50,715,220,153068,5669,
2020-10-11 14:00:00,,15,Idaho,37.597626,-81.454903,64682,593,,4,386.8,,,774,-1,,,135465,6800,
2020-10-11 14:00:00,,15,Idaho,42.075968,-108.290284,64683,1,,-1,391.9,,,,-1,,,3317,-1,
2020-10-11 14:00:00,,16,Illinois,62.588753,-155.493062,64684,520,,10,397,1772,1772,607,24,,157,101829,4476,
2020-10-11 14:00:00,,16,Illinois,31.318231,-87.902298,64685,15,,-1,402.1,62,62,2,-1,,,26416,793,
2020-10-11 14:00:00,,16,Illinois,34.20105,-92.831833,64686,658,658,6,407.2,,,492,-1,,,230431,9827,
2020-10-11 14:00:00,,16,Illinois,33.048928,-112.093731,64687,34,34,-1,412.3,129,129,29,-1,,,53320,1681,
2020-10-11 14:00:00,,17,Indiana,35.778261,-120.417932,64688,122,,3,417.4,,,,-1,,,55419,5213,
2020-10-11 14:00:00,,17,Indiana,38.550051,-106.782067,64689,170,,11,422.5,346,346,114,11,108,,41195,1983,
2020-10-11 14:00:00,,17,Indiana,40.603221,-74.087749,64690,12012,10355,109,427.6,,,3410,-1,,1029,341230,11095,
2020-10-11 14:00:00,,17,Indiana,37.905985,-78.033418,64691,258,,5,432.7,885,885,207,-1,,,122726,3930,
2020-10-11 14:00:00,,18,Iowa,37.910832,-76.52767,64692,374,,5,437.8,,,422,-1,,104,73779,6777,
2020-10-11 14:00:00,,18,Iowa,26.664827,-82.515754,64693,22618,,140,442.9,86574,86574,5896,367,,1980,1063274,32789,
2020-10-11 14:00:00,,18,Iowa,31.157435,-83.907123,64694,1624,1471,14,448,4920,4920,913,50,1304,342,236538,17310,
2020-10-11 14:00:00,,18,Iowa,18.898682,-156.665857,64695,287,,-1,453.1,879,879,179,1,,72,118161,-1,
2020-10-11 14:00:00,,19,Kansas,40.878003,-94.097702,64696,136,,-1,458.2,702,702,155,3,,36,90732,2145,
2020-10-11 14:00:00,,19,Kansas,43.068202,-115.742041,64697,4417,,14,463.3,,,1820,-1,,,270669,4444,
2020-10-11 14:00:00,,19,Kansas,39.633125,-90.398528,64698,122,59,0,468.4,,,149,-1,,23,,-1,
2020-10-11 14:00:00,,19,Kansas,39.551217,-86.602364,64699,498,,9,473.5,1417,1417,259,14,,63,79767,1536,
2020-10-11 14:00:00,,20,Kentucky,38.011902,-99.484246,64700,379,379,-1,478.6,1420,1420,,-1,,,111669,10460,
2020-10-12 16:00:00,,20,Kentucky,36.839333,-85.270018,64701,43,,-1,483.7,311,311,76,7,,,24571,354,
2020-10-12 16:00:00,,20,Kentucky,30.244823,-93.145024,64702,297,297,2,488.8,1481,1481,512,7,,,307891,4978,
2020-10-12 16:00:00,,20,Kentucky,41.407211,-72.382437,64703,1335,,30,493.9,,,1511,-1,,,602570,10830,
2020-10-12 16:00:00,,21,Louisiana,38.045755,-77.641271,64704,79,,1,499,585,585,180,7,195,,163513,3807,
2020-10-12 16:00:00,,21,Louisiana,44.253783,-70.445469,64705,1008,974,6,504.1,5516,5516,1523,102,,378,159972,4087,
2020-10-12 16:00:00,,21,Louisiana,43.314844,-86.602364,64706,5,5,-1,509.2,,,,-1,,,1277,83,
2020-10-12 16:00:00,,21,Louisiana,45.729553,-95.6859,64707,53,53,0,514.3,,,13,-1,,,22973,776,
2020-10-12 16:00:00,,22,Maine,36.964253,-92.831833,64708,999,999,7,519.4,,,167,-1,,51,282580,2403,
2020-10-12 16:00:00,,22,Maine,31.354668,-90.398528,64709,452,452,-1,524.5,2037,2037,363,19,493,130,139673,5467,
2020-10-12 16:00:00,,22,Maine,45.879682,-111.362566,64710,66,,2,529.6,,,47,-1,,10,73999,2063,
2020-10-12 16:00:00,,22,Maine,34.759573,-80.0193,64711,7,,0,534.7,69,69,7,0,,,16330,652,
2020-10-12 16:00:00,,23,Maryland,46.551493,-102.002012,64712,9,9,-1,539.8,,,9,-1,,,32888,858,
2020-10-12 16:00:00,,23,Maryland,40.492537,-100.901813,64713,484,484,8,544.9,1386,1386,454,9,500,,141970,7123,
2020-10-12 16:00:00,,23,Maryland,42.193852,-72.572395,64714,97,,-1,550,519,519,64,-1,,,77065,-1,
2020-10-12 16:00:00,,23,Maryland,39.058324,-75.405661,64715,-1,,-1,555.1,,,,-1,,,104,-1,
2020-10-12 16:00:00,,24,Massachusetts,33.97273,-106.032363,64716,678,,27,560.2,2672,2672,790,36,,343,133156,4324,
2020-10-12 16:00:00,,24,Massachusetts,37.80261,-117.419389,64717,3203,,95,565.3,,,4423,-1,,1312,1102332,43362,
2020-10-12 16:00:00,,24,Massachusetts,42.299428,-75.217933,64718,877,,-214,570.4,3841,3841,670,52,,,100607,3415,27490
2020-10-12 16:00:00,,24,Massachusetts,39.417287,-83.907123,64719,3338,,53,575.5,10945,10945,993,-1,,,128051,8228,
2020-10-12 16:00:00,,25,Michigan,34.007752,-98.092877,64720,374,,6,580.6,,,381,-1,,,28489,1021,
2020-10-12 16:00:00,,25,Michigan,42.804133,-121.554201,64721,382,335,9,585.7,,,249,-1,,,32210,1305,
2020-10-12 16:00:00,,25,Michigan,40.203322,-78.194525,64722,2039,2039,48,590.8,8392,8392,,399,,,585235,19608,
2020-10-12 16:00:00,,25,Michigan,17.220833,-67.590149,64723,1591,,34,595.9,6734,6734,1004,296,1553,,283921,18728,
2020-10-12 16:00:00,,26,Minnesota,40.580095,-72.477429,64724,4,,-1,601,,,,-1,,,4364,3,
2020-10-12 16:00:00,,26,Minnesota,32.836081,-82.163725,64725,16,,-1,606.1,80,80,,-1,,,40244,2105,
2020-10-12 16:00:00,,26,Minnesota,42.969515,-100.901813,64726,345,,9,611.2,,,386,-1,,127,81971,2454,
2020-10-12 16:00:00,,26,Minnesota,34.517491,-87.580447,64727,72,,0,616.3,212,212,18,0,88,,33298,904,
2020-10-12 16:00:00,,27,Mississippi,30.968599,-100.901813,64728,4128,4128,70,621.4,,,4305,-1,,1134,469191,20958,
2020-10-12 16:00:00,,27,Mississippi,38.32098,-112.093731,64729,1740,1595,49,626.5,4388,4388,1273,-1,989,425,144077,5284,
2020-10-12 16:00:00,,27,Mississippi,36.431573,-79.656894,64730,171,,-1,631.6,723,723,,-1,245,,53705,-1,
2020-10-12 16:00:00,,27,Mississippi,43.558803,-73.577841,64731,331,331,3,636.7,1895,1895,380,8,796,217,120289,6236,
2020-10-12 16:00:00,,28,Missouri,46.751074,-121.740139,64732,2478,2412,30,641.8,,,1027,-1,,,225624,6272,
2020-10-12 16:00:00,,28,Missouri,42.78444,-89.787868,64733,5704,5704,112,646.9,8455,8455,2691,141,,746,363155,10897,
2020-10-12 16:00:00,,28,Missouri,37.597626,-81.454903,64734,2039,1942,48,652,6754,6754,1499,75,,597,152206,6366,
2020-10-12 16:00:00,,28,Missouri,42.075968,-108.290284,64735,69,69,0,657.1,213,213,36,2,,18,22091,-1,586
2020-10-12 16:00:00,,29,Montana,62.588753,-155.493062,64736,5356,5162,31,662.2,,,1255,-1,,531,353155,11328,
2020-10-13 17:00:00,,29,Montana,31.318231,-87.902298,64737,708,699,16,667.3,2038,2038,492,53,699,224,147398,7625,
2020-10-13 17:00:00,,29,Montana,34.20105,-92.831833,64738,588,,12,672.4,,,774,-1,,,128664,4662,
2020-10-13 17:00:00,,29,Montana,33.048928,-112.093731,64739,1,,-1,677.5,,,,-1,,,3317,11,
2020-10-13 17:00:00,,30,Nebraska,35.778261,-120.417932,64740,509,,16,682.6,1747,1747,640,35,,169,97352,1330,
2020-10-13 17:00:00,,30,Nebraska,38.550051,-106.782067,64741,15,,-1,687.7,62,62,2,-1,,,25622,670,
2020-10-13 17:00:00,,30,Nebraska,40.603221,-74.087749,64742,651,651,10,692.8,,,480,-1,,,220603,6185,
2020-10-13 17:00:00,,30,Nebraska,37.905985,-78.033418,64743,34,34,-1,697.9,129,129,32,-1,,,51638,1684,
2020-10-13 17:00:00,,31,Nevada,37.910832,-76.52767,64744,118,,5,703,,,,-1,,,50205,2406,
2020-10-13 17:00:00,,31,Nevada,26.664827,-82.515754,64745,158,,-1,708.1,334,334,109,-1,108,,39211,63,
2020-10-13 17:00:00,,31,Nevada,31.157435,-83.907123,64746,11902,10248,113,713.2,,,3563,-1,,1060,330134,11067,
2020-10-13 17:00:00,,31,Nevada,18.898682,-156.665857,64747,252,,10,718.3,885,885,222,-1,,,118795,4697,
2020-10-13 17:00:00,,32,New Hampshire,40.878003,-94.097702,64748,368,,0,723.4,,,422,-1,,104,67001,1469,
2020-10-13 17:00:00,,32,New Hampshire,43.068202,-115.742041,64749,22477,,173,728.5,86206,86206,6219,424,,2076,1030484,38249,
2020-10-13 17:00:00,,32,New Hampshire,39.633125,-90.398528,64750,1609,1456,28,733.6,4869,4869,865,78,1276,365,219227,-1,
2020-10-13 17:00:00,,32,New Hampshire,39.551217,-86.602364,64751,287,,2,738.7,877,877,179,14,,72,118161,5055,
2020-10-13 17:00:00,,33,New Jersey,38.011902,-99.484246,64752,136,,-1,743.8,698,698,152,7,,47,88586,2621,
2020-10-13 17:00:00,,33,New Jersey,36.839333,-85.270018,64753,4402,,60,748.9,,,1872,-1,,,266224,7014,
2020-10-13 17:00:00,,33,New Jersey,30.244823,-93.145024,64754,121,58,-1,754,,,143,-1,,14,,-1,
2020-10-13 17:00:00,,33,New Jersey,41.407211,-72.382437,64755,488,,9,759.1,1402,1402,272,30,,65,78230,1763,
2020-10-13 17:00:00,,34,New Mexico,38.045755,-77.641271,64756,379,379,-1,764.2,1420,1420,,-1,,,101208,-1,
2020-10-13 17:00:00,,34,New Mexico,44.253783,-70.445469,64757,43,,-1,769.3,303,303,74,7,,,24216,689,
2020-10-13 17:00:00,,34,New Mexico,43.314844,-86.602364,64758,294,294,4,774.4,1473,1473,514,19,,,302912,10126,
2020-10-13 17:00:00,,34,New Mexico,45.729553,-95.6859,64759,1304,,32,779.5,,,1790,-1,,,591739,27307,
2020-10-13 17:00:00,,35,New York,36.964253,-92.831833,64760,77,,0,784.6,577,577,167,11,193,,159705,3400,
2020-10-13 17:00:00,,35,New York,31.354668,-90.398528,64761,1001,967,24,789.7,5413,5413,1504,97,,380,155884,6542,
2020-10-13 17:00:00,,35,New York,45.879682,-111.362566,64762,5,5,-1,794.8,,,,-1,,,1193,-1,
2020-10-13 17:00:00,,35,New York,34.759573,-80.0193,64763,52,52,-1,799.9,,,19,-1,,,22196,959,
2020-10-13 17:00:00,,36,North Carolina,46.551493,-102.002012,64764,991,991,8,805,,,330,-1,,89,280176,3379,
2020-10-13 17:00:00,,36,North Carolina,40.492537,-100.901813,64765,452,452,7,810.1,2017,2017,360,40,487,127,134205,5548,
2020-10-13 17:00:00,,36,North Carolina,42.193852,-72.572395,64766,63,,1,815.2,,,54,-1,,12,71935,2440,
2020-10-13 17:00:00,,36,North Carolina,39.058324,-75.405661,64767,6,,-1,820.3,68,68,7,0,,,15677,370,
2020-10-13 17:00:00,,37,North Dakota,33.97273,-106.032363,64768,9,9,-1,825.4,,,7,-1,,,32029,654,
2020-10-13 17:00:00,,37,North Dakota,37.80261,-117.419389,64769,475,475,8,830.5,1376,1376,518,26,496,,134846,3829,
2020-10-13 17:00:00,,37,North Dakota,42.299428,-75.217933,64770,97,,0,835.6,519,519,64,10,,,77065,5483,
2020-10-13 17:00:00,,37,North Dakota,39.417287,-83.907123,64771,-1,,-1,840.7,,,,-1,,,104,-1,
2020-10-13 17:00:00,,38,Ohio,34.007752,-98.092877,64772,650,,26,845.8,2635,2635,807,40,,312,128831,7167,
2020-10-13 17:00:00,,38,Ohio,42.804133,-121.554201,64773,3107,,75,850.9,,,4518,-1,,1323,1058969,27482,
2020-10-13 17:00:00,,38,Ohio,40.203322,-78.194525,64774,1090,,28,856,3788,3788,684,53,,,97191,3147,24875
2020-10-13 17:00:00,,38,Ohio,17.220833,-67.590149,64775,3284,,65,861.1,10945,10945,1032,-1,,,119822,5724,
2020-10-13 17:00:00,,39,Oklahoma,40.580095,-72.477429,64776,367,,9,866.2,,,392,-1,,,27467,1204,
2020-10-13 17:00:00,,39,Oklahoma,32.836081,-82.163725,64777,372,326,10,871.3,,,268,-1,,,30904,1270,
2020-10-13 17:00:00,,39,Oklahoma,42.969515,-100.901813,64778,1990,1990,42,876.4,7992,7992,,-1,,,565626,-1,
2020-10-13 17:00:00,,39,Oklahoma,34.517491,-87.580447,64779,1556,,29,881.5,6437,6437,1028,92,1533,,265192,15169,
2020-10-13 17:00:00,,40,Oregon,30.968599,-100.901813,64780,4,,-1,886.6,,,,-1,,,4360,134,
2020-10-13 17:00:00,,40,Oregon,38.32098,-112.093731,64781,16,,-1,891.7,80,80,,-1,,,38138,-105,
2020-10-13 17:00:00,,40,Oregon,36.431573,-79.656894,64782,335,,17,896.8,,,386,-1,,129,79516,3897,
2020-10-13 17:00:00,,40,Oregon,43.558803,-73.577841,64783,71,,2,901.9,211,211,25,-1,88,,32393,963,
2020-10-13 17:00:00,,41,Pennsylvania,46.751074,-121.740139,64784,122,,-1,907,,,,-1,,,57152,1732,
2020-10-13 17:00:00,,41,Pennsylvania,42.78444,-89.787868,64785,171,,0,912.1,358,358,113,11,108,,41281,85,
2020-10-13 17:00:00,,41,Pennsylvania,37.597626,-81.454903,64786,12095,10434,82,917.2,,,3508,-1,,1052,357529,16298,
2020-10-13 17:00:00,,41,Pennsylvania,42.075968,-108.290284,64787,264,,5,922.3,885,885,210,-1,,,127314,4587,
2020-10-13 17:00:00,,43,Rhode Island,62.588753,-155.493062,64788,382,,7,927.4,,,422,-1,,104,74925,1145,
2020-10-13 17:00:00,,43,Rhode Island,31.318231,-87.902298,64789,22728,,109,932.5,86900,86900,5839,325,,1907,1088185,24910,
2020-10-13 17:00:00,,43,Rhode Island,34.20105,-92.831833,64790,1656,1503,31,937.6,4997,4997,911,76,1327,366,243394,6855,
2020-10-13 17:00:00,,43,Rhode Island,33.048928,-112.093731,64791,287,,-1,942.7,884,884,75,4,,44,118161,-1,
2020-10-13 17:00:00,,44,South Carolina,35.778261,-120.417932,64792,137,,0,947.8,707,707,136,4,,42,93627,2894,
2020-10-13 17:00:00,,44,South Carolina,38.550051,-106.782067,64793,4504,,86,952.9,,,1884,-1,,,277552,6882,
2020-10-13 17:00:00,,44,South Carolina,40.603221,-74.087749,64794,123,59,0,958,,,146,-1,,16,,-1,
2020-10-13 17:00:00,,44,South Carolina,37.905985,-78.033418,64795,505,,6,963.1,1437,1437,235,19,,61,81056,1288,
2020-10-13 17:00:00,,45,South Dakota,37.910832,-76.52767,64796,390,390,10,968.2,1420,1420,,-1,,,122616,10946,
2020-10-13 17:00:00,,45,South Dakota,26.664827,-82.515754,64797,43,,-1,973.3,315,315,76,3,,,25017,445,
2020-10-13 17:00:00,,45,South Dakota,31.157435,-83.907123,64798,300,300,2,978.4,1488,1488,637,6,,,319416,11524,
2020-10-13 17:00:00,,45,South Dakota,18.898682,-156.665857,64799,1346,,10,983.5,,,1550,-1,,,631151,28580,
2020-10-13 17:00:00,,46,Tennessee,40.878003,-94.097702,64800,79,,-1,988.6,594,594,178,8,196,,166637,3123,
2020-10-13 17:00:00,,46,Tennessee,43.068202,-115.742041,64801,1013,979,4,993.7,5608,5608,1501,91,,360,165085,5112,
2020-10-13 17:00:00,,46,Tennessee,39.633125,-90.398528,64802,5,5,-1,998.8,,,,-1,,,1277,-1,
2020-10-13 17:00:00,,46,Tennessee,39.551217,-86.602364,64803,53,53,-1,1003.9,,,21,-1,,,23546,572,
2020-10-13 17:00:00,,47,Texas,38.011902,-99.484246,64804,1000,1000,0,1009,,,167,-1,,51,290723,8142,
2020-10-13 17:00:00,,47,Texas,36.839333,-85.270018,64805,458,458,5,1014.1,2067,2067,378,29,495,126,144501,4827,
2020-10-13 17:00:00,,47,Texas,30.244823,-93.145024,64806,66,,-1,1019.2,,,47,-1,,10,74543,543,
2020-10-13 17:00:00,,47,Texas,41.407211,-72.382437,64807,7,,-1,1024.3,72,72,7,2,,,16330,-1,
2020-10-13 17:00:00,,48,Utah,38.045755,-77.641271,64808,9,9,-1,1029.4,,,12,-1,,,34254,1365,
2020-10-13 17:00:00,,48,Utah,44.253783,-70.445469,64809,487,487,2,1034.5,1391,1391,459,4,503,,144578,2607,
2020-10-13 17:00:00,,48,Utah,43.314844,-86.602364,64810,97,,-1,1039.6,519,519,64,-1,,,80425,3359,
2020-10-14 19:00:00,,48,Utah,45.729553,-95.6859,64811,-1,,-1,1044.7,,,,-1,,,104,-1,
2020-10-14 19:00:00,,49,Vermont,36.964253,-92.831833,64812,679,,0,1049.8,2702,2702,795,29,,336,137823,4666,
2020-10-14 19:00:00,,49,Vermont,31.354668,-90.398528,64813,3260,,56,1054.9,,,4290,-1,,1292,1156403,54070,
2020-10-14 19:00:00,,49,Vermont,45.879682,-111.362566,64814,877,,-1,1060,3865,3865,649,23,,,103914,3306,29934
2020-10-14 19:00:00,,49,Vermont,34.759573,-80.0193,64815,3407,,68,1065.1,10945,10945,936,-1,,,133187,5135,
2020-10-14 19:00:00,,50,Virginia,46.551493,-102.002012,64816,382,,7,1070.2,,,368,-1,,,29402,912,
2020-10-14 19:00:00,,50,Virginia,40.492537,-100.901813,64817,391,344,8,1075.3,,,228,-1,,,33194,983,
2020-10-14 19:00:00,,50,Virginia,42.193852,-72.572395,64818,2048,2048,8,1080.4,8477,8477,,84,,,606203,20967,
2020-10-14 19:00:00,,50,Virginia,39.058324,-75.405661,64819,1605,,13,1085.5,6789,6789,1009,54,1556,,313473,29551,
2020-10-14 19:00:00,,52,Washington,33.97273,-106.032363,64820,4,,-1,1090.6,,,,-1,,,4449,84,
2020-10-14 19:00:00,,52,Washington,37.80261,-117.419389,64821,16,,-1,1095.7,81,81,,0,,,41034,789,
2020-10-14 19:00:00,,52,Washington,42.299428,-75.217933,64822,350,,4,1100.8,,,375,-1,,123,85589,3617,
2020-10-14 19:00:00,,52,Washington,39.417287,-83.907123,64823,72,,-1,1105.9,212,212,25,-1,88,,34252,953,
2020-10-14 19:00:00,,53,West Virginia,34.007752,-98.092877,64824,4176,4176,47,1111,,,4189,-1,,1143,487752,18560,
2020-10-14 19:00:00,,53,West Virginia,42.804133,-121.554201,64825,1750,1606,9,1116.1,4388,4388,1245,-1,989,440,149464,5386,
2020-10-14 19:00:00,,53,West Virginia,40.203322,-78.194525,64826,171,,-1,1121.2,723,723,,-1,245,,53705,-1,
2020-10-14 19:00:00,,53,West Virginia,17.220833,-67.590149,64827,333,333,1,1126.3,1895,1895,380,-1,796,217,121996,1706,
2020-10-14 19:00:00,,54,Wisconsin,40.580095,-72.477429,64828,2490,2424,11,1131.4,,,1018,-1,,,230737,5112,
2020-10-14 19:00:00,,54,Wisconsin,32.836081,-82.163725,64829,5796,5796,91,1136.5,8538,8538,2596,82,,701,374815,11659,
2020-10-14 19:00:00,,54,Wisconsin,42.969515,-100.901813,64830,2089,1988,49,1141.6,6992,6992,1459,237,,561,156121,3914,
2020-10-14 19:00:00,,54,Wisconsin,34.517491,-87.580447,64831,69,69,-1,1146.7,215,215,36,1,,15,22091,-1,586
2020-10-14 19:00:00,,55,Wyoming,30.968599,-100.901813,64832,5395,5193,38,1151.8,,,1113,-1,,487,363547,10391,
2020-10-14 19:00:00,,55,Wyoming,38.32098,-112.093731,64833,730,721,21,1156.9,2089,2089,486,50,715,220,153068,5669,
2020-10-14 19:00:00,,55,Wyoming,36.431573,-79.656894,64834,593,,4,1162,,,774,-1,,,135465,6800,
2020-10-14 19:00:00,,55,Wyoming,43.558803,-73.577841,64835,1,,-1,1167.1,,,,-1,,,3317,-1,
2020-10-14 19:00:00,US,55.22708394,Alabama,46.751074,-121.740139,64835.94176,520,,10,1172.2,1772,1772,607,24,,157,101829,4476,
2020-10-14 19:00:00,US,55.49309662,Alabama,42.78444,-89.787868,64836.9409,15,,-1,1177.3,62,62,2,-1,,,26416,793,
2020-10-14 19:00:00,US,55.7591093,Alabama,37.597626,-81.454903,64837.94005,658,658,6,1182.4,,,492,-1,,,230431,9827,
2020-10-14 19:00:00,US,56.02512197,Alabama,42.075968,-108.290284,64838.93919,34,34,-1,1187.5,129,129,29,-1,,,53320,1681,
2020-10-14 19:00:00,US,56.29113465,Alaska,62.588753,-155.493062,64839.93834,122,,3,1192.6,,,,-1,,,55419,5213,
2020-10-14 19:00:00,US,56.55714733,Alaska,31.318231,-87.902298,64840.93748,170,,11,1197.7,346,346,114,11,108,,41195,1983,
2020-10-14 19:00:00,US,56.82316001,Alaska,34.20105,-92.831833,64841.93662,12012,10355,109,1202.8,,,3410,-1,,1029,341230,11095,
2020-10-14 19:00:00,US,57.08917269,Alaska,33.048928,-112.093731,64842.93577,258,,5,1207.9,885,885,207,-1,,,122726,3930,
